title,company,location,experience,category,date,time,applyLink
"Software Engineer Walking","Google","Bangalore, India","0-1 years","Technology","2024-01-15","10:00","https://google.com/apply"
"Marketing Specialist Walking","Microsoft","Mumbai, India","1-2 years","Marketing","2024-01-20","14:00","https://microsoft.com/apply"
"Data Analyst Walking","Amazon","Delhi, India","0-1 years","Technology","2024-01-25","11:00","https://amazon.com/apply"
"Sales Executive Walking","Salesforce","Chennai, India","1-2 years","Sales","2024-01-30","15:00","https://salesforce.com/apply"
"UI/UX Designer Walking","Adobe","Pune, India","2-3 years","Design","2024-02-05","12:00","https://adobe.com/apply"
"Finance Analyst Walking","Goldman Sachs","Hyderabad, India","1-2 years","Finance","2024-02-10","09:00","https://goldmansachs.com/apply"
"Healthcare Assistant Walking","Apollo Hospitals","Kolkata, India","Fresher","Healthcare","2024-02-15","13:00","https://apollo.com/apply"
"Education Coordinator Walking","BYJU'S","Ahmedabad, India","0-1 years","Education","2024-02-20","16:00","https://byjus.com/apply"
"Operations Manager Walking","Flipkart","Jaipur, India","3-5 years","Operations","2024-02-25","10:30","https://flipkart.com/apply"
"Engineering Manager Walking","Infosys","Indore, India","5+ years","Engineering","2024-03-01","14:30","https://infosys.com/apply" 
