title,provider,category,link
"AWS Cloud Practitioner","Amazon Web Services","Cloud Computing","https://aws.amazon.com/certification/certified-cloud-practitioner/"
"Google Cloud Digital Leader","Google Cloud","Cloud Computing","https://cloud.google.com/certification/cloud-digital-leader"
"Microsoft Azure Fundamentals","Microsoft","Cloud Computing","https://docs.microsoft.com/en-us/certifications/azure-fundamentals/"
"Python Programming","Coursera","Programming","https://www.coursera.org/learn/python"
"Data Science Fundamentals","edX","Data Science","https://www.edx.org/course/data-science"
"Cybersecurity Essentials","Cisco","Cybersecurity","https://www.cisco.com/c/en/us/training-events/training-certifications/certifications/associate/cyber-ops.html"
"Digital Marketing Fundamentals","Google","Digital Marketing","https://learndigital.withgoogle.com/digitalgarage/courses"
"UI/UX Design Principles","Figma","Design","https://www.figma.com/education/"
"Machine Learning Basics","Stanford Online","AI/ML","https://online.stanford.edu/courses/cs229-machine-learning"
"DevOps Fundamentals","Linux Foundation","DevOps","https://training.linuxfoundation.org/training/devops-fundamentals/"
"Business Analytics","IBM","Business","https://www.ibm.com/training/business-analytics"
"React Development","Meta","Programming","https://www.meta.com/developers/courses/react/"
"Blockchain Basics","Ethereum Foundation","Programming","https://ethereum.org/en/developers/learning-tools/"
"Cloud Security","CompTIA","Cybersecurity","https://www.comptia.org/certifications/security"
"Product Management","Product School","Business","https://productschool.com/courses/product-management/" 
