title,company,location,startDate,endDate,stipend,duration,applyLink,description,skills,category,batch
Software Development Intern,Google,Bangalore,2024-06-01,2024-08-31,"₹50,000/month",3 months,https://careers.google.com/internships,"Join our software development team; Work on real projects; Collaborate with engineers","JavaScript,Python,React","Software Development","2024,2025"
Data Science Intern,Microsoft,Mumbai,2024-05-15,2024-08-15,"₹45,000/month",3 months,https://careers.microsoft.com/internships,"Work with big data; Machine learning projects; Data analysis","Python,R,SQL","Data Science","2024,2025"
Marketing Intern,Amazon,Delhi,2024-06-01,2024-09-01,"₹35,000/month",3 months,https://www.amazon.jobs/en/teams/internships,"Assist in marketing campaigns; Social media management; Content creation","Marketing,Excel,Communication","Marketing","2023,2024"
Finance Intern,Goldman Sachs,Mumbai,2024-05-01,2024-07-31,"₹60,000/month",3 months,https://goldmansachs.com/careers,"Investment banking; Financial analysis; Client presentations","Excel,Financial Modeling,Accounting","Finance"
UI/UX Design Intern,Adobe,Hyderabad,2024-06-15,2024-09-15,"₹40,000/month",3 months,https://adobe.com/careers,"Create user interfaces; User experience research; Design sprints","Figma,Sketch,Adobe Creative Suite","Design"
Sales Intern,Oracle,Chennai,2024-05-01,2024-08-01,"₹30,000/month",3 months,https://oracle.com/careers,"B2B sales; Customer relationship management; Sales strategy","Communication,Negotiation,CRM","Sales"
HR Intern,Infosys,Bangalore,2024-06-01,2024-09-01,"₹25,000/month",3 months,https://infosys.com/careers,"HR operations; Recruitment processes; Employee engagement","Communication,Organization,MS Office","HR"
Operations Intern,Flipkart,Bangalore,2024-05-15,2024-08-15,"₹35,000/month",3 months,https://flipkart.com/careers,"Supply chain management; Operations analysis; Logistics","Logistics,Analytics,Problem Solving","Operations"
Research Intern,IBM,Pune,2024-06-01,2024-09-01,"₹45,000/month",3 months,https://ibm.com/careers,"Research in emerging technologies; Technical writing; Data analysis","Research,Analysis,Technical Writing","Research"
Content Writing Intern,HubSpot,Remote,2024-05-01,2024-08-01,"₹30,000/month",3 months,https://hubspot.com/careers,"Content creation; SEO optimization; Social media writing","Content Writing,SEO,Social Media","Content Writing"
Business Development Intern,PayPal,Mumbai,2024-06-15,2024-09-15,"₹40,000/month",3 months,https://paypal.com/careers,"Business strategy; Market research; Networking","Business Strategy,Market Research,Networking","Business Development"
Product Management Intern,Netflix,Bangalore,2024-05-01,2024-08-01,"₹50,000/month",3 months,https://netflix.com/careers,"Product strategy; User research; Analytics","Product Strategy,User Research,Analytics","Product Management" 
