title,company,location,startDate,endDate,stipend,duration,applyLink,description,skills,category
Software Development Intern,Google,Bangalore,2024-06-01,2024-08-31,₹50,000/month,3 months,https://careers.google.com/internships,Join our software development team and work on real projects,JavaScript,Python,React,Software Development
Data Science Intern,Microsoft,Mumbai,2024-05-15,2024-08-15,₹45,000/month,3 months,https://careers.microsoft.com/internships,Work with big data and machine learning projects,Python,R,SQL,Data Science
Marketing Intern,Amazon,Delhi,2024-06-01,2024-09-01,₹35,000/month,3 months,https://amazon.jobs/internships,Learn digital marketing and brand management,Social Media,Content Writing,Analytics,Marketing
Finance Intern,Goldman Sachs,Mumbai,2024-05-01,2024-07-31,₹60,000/month,3 months,https://goldmansachs.com/careers,Experience investment banking and financial analysis,Excel,Financial Modeling,Accounting,Finance
UI/UX Design Intern,Adobe,Hyderabad,2024-06-15,2024-09-15,₹40,000/month,3 months,https://adobe.com/careers,Create beautiful user interfaces and experiences,Figma,Sketch,Adobe Creative Suite,Design
Sales Intern,Oracle,Chennai,2024-05-01,2024-08-01,₹30,000/month,3 months,https://oracle.com/careers,Learn B2B sales and customer relationship management,Communication,Negotiation,CRM,Sales
HR Intern,Infosys,Bangalore,2024-06-01,2024-09-01,₹25,000/month,3 months,https://infosys.com/careers,Support HR operations and recruitment processes,Communication,Organization,MS Office,HR
Operations Intern,Flipkart,Bangalore,2024-05-15,2024-08-15,₹35,000/month,3 months,https://flipkart.com/careers,Learn supply chain and operations management,Logistics,Analytics,Problem Solving,Operations
Research Intern,IBM,Pune,2024-06-01,2024-09-01,₹45,000/month,3 months,https://ibm.com/careers,Conduct research in emerging technologies,Research,Analysis,Technical Writing,Research
Content Writing Intern,HubSpot,Remote,2024-05-01,2024-08-01,₹30,000/month,3 months,https://hubspot.com/careers,Create engaging content for digital marketing,Content Writing,SEO,Social Media,Content Writing
Business Development Intern,PayPal,Mumbai,2024-06-15,2024-09-15,₹40,000/month,3 months,https://paypal.com/careers,Develop business strategies and partnerships,Business Strategy,Market Research,Networking,Business Development
Product Management Intern,Netflix,Bangalore,2024-05-01,2024-08-01,₹50,000/month,3 months,https://netflix.com/careers,Learn product strategy and user experience,Product Strategy,User Research,Analytics,Product Management 
